AsOfDate,OpenDate,CloseDate,ShortName,PortfolioName,StrategyRefShortName,Strategy1RefShortName,Strategy2RefShortName,CustodianName,DirectionName,SecurityId,SecurityTypeName,SecName,StartQty,Qty,StartPrice,Price,StartFXRate,FXRate,MV_Local,MV_Base,PL_DTD,PL_QTD,PL_MTD,PL_YTD
01/08/23,18/11/20,NULL,NorthPoint,Northpoint 401K, Default,Asset,DefaultS2,CS Prime,Long,273482,Equity,MSFT,15,15,50,50,1,1,0,0,0,0,0,0
01/08/23,31/01/23,31/01/23,AIV 1,CoYold 1, Default,ClientA,DefaultS2,JP MORGAN SECURITIES LLC,Long,273771,Bond,000361AH8,0,0,0,101,1,1,NULL,NULL,0,0,0,2009.72
01/08/23,25/07/23,NULL,Heather,Heather, Default,Asset,DefaultS2,CS Prime,Long,275373,AssetBacked,02660CAD2,5571429,5571429,0,99,1,1,0,0,143.4083,-898728.6355,143.4083,-898728.6355
01/08/23,25/07/23,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,275373,AssetBacked,02660CAD2,928571,928571,0,99,1,1,0,0,23.9014,-149788.0236,23.9014,-149788.0236
01/08/23,25/07/23,NULL,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,275373,AssetBacked,02660CAD2,6500000,6500000,0,99,1,1,0,0,167.3097,-1048516.669,167.3097,-1048516.669
01/08/23,27/01/22,NULL,Opium,Opium Holdings Partners, Default,Asset,DefaultS2,CS Prime,Long,276270,Equity,AA,300000,300000,14.61,14.61,1,1,4383000,4383000,0,24000,0,153000
01/08/23,27/01/22,NULL,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,276270,Equity,AA,350000,350000,14.61,14.61,1,1,5113500,5113500,0,28000,0,178500
01/08/23,27/01/22,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,276270,Equity,AA,50000,50000,14.61,14.61,1,1,730500,730500,0,4000,0,25500
01/08/23,27/01/22,NULL,Heather,Heather, Default,Asset,DefaultS2,CS Prime,Long,276270,Equity,AA,300000,300000,14.61,14.61,1,1,4383000,4383000,0,24000,0,153000
01/08/23,01/06/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,276270,Equity,AA,3000000,3000000,14.61,14.61,1,1,43830000,43830000,0,240000,0,1530000
01/08/23,01/08/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,276270,Equity,AA,130000,130000,14.61,14.61,1,1,1899300,1899300,0,10400,0,66300
01/08/23,15/08/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,276270,Equity,AA,140000,140000,14.61,14.61,1,1,2045400,2045400,0,11200,0,71400
01/08/23,15/07/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,276270,Equity,AA,110000,110000,14.61,14.61,1,1,1607100,1607100,0,8800,0,56100
01/08/23,01/06/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,276270,Equity,AA,1850000,1850000,14.61,14.61,1,1,27028500,27028500,0,148000,0,943500
01/08/23,01/07/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,276270,Equity,AA,110000,110000,14.61,14.61,1,1,1607100,1607100,0,8800,0,56100
01/08/23,15/08/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,276270,Equity,AA,80000,80000,14.61,14.61,1,1,1168800,1168800,0,6400,0,40800
01/08/23,01/06/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,277144,Equity,F,3210000,3210000,6.25,6.25,1,1,20062500,20062500,0,64200,0,353100
01/08/23,01/08/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,277144,Equity,F,250000,250000,6.25,6.25,1,1,1562500,1562500,0,5000,0,27500
01/08/23,15/07/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,277144,Equity,F,340000,340000,6.25,6.25,1,1,2125000,2125000,0,6800,0,37400
01/08/23,15/08/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,277144,Equity,F,330000,330000,6.25,6.25,1,1,2062500,2062500,0,6600,0,36300
01/08/23,01/06/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,277144,Equity,F,6140000,6140000,6.25,6.25,1,1,38375000,38375000,0,122800,0,675400
01/08/23,01/07/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,277144,Equity,F,200000,200000,6.25,6.25,1,1,1250000,1250000,0,4000,0,22000
01/08/23,15/07/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,277144,Equity,F,210000,210000,6.25,6.25,1,1,1312500,1312500,0,4200,0,23100
01/08/23,01/08/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,277144,Equity,F,350000,350000,6.25,6.25,1,1,2187500,2187500,0,7000,0,38500
01/08/23,26/07/23,NULL,Heather,Heather, Default,Asset,DefaultS2,CS Prime,Long,271221,Equity,669 HK,100000,100000,84,84,9.710000004,9.710000004,0,0,0,-865087.5383,0,-865087.5383
01/08/23,26/07/23,NULL,NorthPoint,Northpoint 401K, Default,Asset,DefaultS2,CS Prime,Long,271221,Equity,669 HK,150000,150000,84,84,9.710000004,9.710000004,0,0,0,-1297631.307,0,-1297631.307
01/08/23,03/11/21,NULL,NorthPoint,Northpoint 401K, Default,Asset,DefaultS2,CS Prime,Long,271437,Equity,AU,2554,2554,0,89,1,1,0,0,0,0,0,0
01/08/23,03/11/21,NULL,Heather,Heather, Default,Asset,DefaultS2,CS Prime,Long,271437,Equity,AU,327373,327373,0,89,1,1,0,0,0,0,0,0
01/08/23,03/11/21,NULL,Opium,Opium Holdings Partners, Default,Asset,DefaultS2,CS Prime,Long,271437,Equity,AU,292465,292465,0,89,1,1,0,0,0,0,0,0
01/08/23,03/11/21,NULL,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,271437,Equity,AU,179651,179651,0,89,1,1,0,0,0,0,0,0
01/08/23,03/11/21,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,271437,Equity,AU,197957,197957,0,89,1,1,0,0,0,0,0,0
01/08/23,02/01/20,NULL,Heather,Heather, Default,Asset,DefaultS2,CS Prime,Long,271606,Bond,25271CAE2,5000000,5000000,96,96,1,1,0,0,0,6458.3333,0,6250
01/08/23,01/06/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,272584,Equity,SAP GR,200000,200000,105.16,105.14,1.33,1.33,21028000,27967240,-5320,-162260,-5320,-1058680
01/08/23,15/08/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,272584,Equity,SAP GR,10000,10000,105.16,105.14,1.33,1.33,1051400,1398362,-266,-8113,-266,-52934
01/08/23,01/08/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,272584,Equity,SAP GR,20000,20000,105.16,105.14,1.33,1.33,2102800,2796724,-532,-16226,-532,-105868
01/08/23,15/07/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,272584,Equity,SAP GR,10000,10000,105.16,105.14,1.33,1.33,1051400,1398362,-266,-8113,-266,-52934
01/08/23,01/06/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,272584,Equity,SAP GR,240000,240000,105.16,105.14,1.33,1.33,25233600,33560688,-6384,-194712,-6384,-1270416
01/08/23,15/08/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,272584,Equity,SAP GR,10000,10000,105.16,105.14,1.33,1.33,1051400,1398362,-266,-8113,-266,-52934
01/08/23,01/08/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,272584,Equity,SAP GR,20000,20000,105.16,105.14,1.33,1.33,2102800,2796724,-532,-16226,-532,-105868
01/08/23,26/07/23,NULL,Heather,Heather, Default,Asset,DefaultS2,CS Prime,Long,270962,Equity,FB,65000,65000,299,299,1,1,0,0,0,-19435000,0,-19435000
01/08/23,26/07/23,NULL,NorthPoint,Northpoint 401K, Default,Asset,DefaultS2,CS Prime,Long,270962,Equity,FB,35000,35000,299,299,1,1,0,0,0,-10465000,0,-10465000
01/08/23,04/03/20,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,12,12,96,96,1.33,1.33,11.52,15.3216,0.0019,0.2196,0.0019,0.8322
01/08/23,04/03/20,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,112500,112500,96,96,1.33,1.33,108000,143640,17.5789,2058.7746,17.5789,7801.7582
01/08/23,04/03/20,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,72143,72143,96,96,1.33,1.33,69257.28,92112.1824,11.2728,1320.2327,11.2728,5003.0421
01/08/23,01/06/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,278776,Bond,912828CA6,20180000,20180000,113,113,1,1,22803400,22803400,2205.4645,272374.8634,2205.4645,1476558.47
01/08/23,15/07/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,278776,Bond,912828CA6,1720000,1720000,113,113,1,1,1943600,1943600,187.9781,23215.3005,187.9781,125851.3661
01/08/23,01/08/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,278776,Bond,912828CA6,1570000,1570000,113,113,1,1,1774100,1774100,171.5847,21190.7104,171.5847,114875.9563
01/08/23,01/07/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,278776,Bond,912828CA6,1000000,1000000,113,113,1,1,1130000,1130000,109.2896,13497.2678,109.2896,73169.3989
01/08/23,01/06/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,278776,Bond,912828CA6,21830000,21830000,113,113,1,1,24667900,24667900,2385.7924,294645.3552,2385.7924,1597287.978
01/08/23,15/08/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,278776,Bond,912828CA6,1350000,1350000,113,113,1,1,1525500,1525500,147.541,18221.3115,147.541,98778.6885
01/08/23,15/07/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,278776,Bond,912828CA6,1240000,1240000,113,113,1,1,1401200,1401200,135.5191,16736.612,135.5191,90730.0546
01/08/23,16/11/20,NULL,Hi Yield,Hi Yield, Default,Asset,DefaultS2,CS Prime,Long,278802,Bond,912828HA1,121000,121000,98,98,1,1,0,0,15.7036,502.6858,15.7036,455.446
01/08/23,16/11/20,NULL,Lee Investment,Warren Lee IG, Default,Asset,DefaultS2,CS Prime,Long,278802,Bond,912828HA1,15100,15100,98,98,1,1,0,0,1.9597,62.7319,1.9597,56.8367
01/08/23,16/11/20,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,278802,Bond,912828HA1,863900,863900,98,98,1,1,0,0,112.1182,3589.0101,112.1182,3251.7341
01/08/23,01/06/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,278822,Bond,912828PX2,26670000,26670000,124,124,1,1,33070800,33070800,2648.7329,351459.4521,2648.7329,1677013.253
01/08/23,15/08/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,278822,Bond,912828PX2,1850000,1850000,124,124,1,1,2294000,2294000,183.7329,24379.4521,183.7329,116328.2534
01/08/23,01/07/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,278822,Bond,912828PX2,1880000,1880000,124,124,1,1,2331200,2331200,186.7123,24774.7945,186.7123,118214.6575
01/08/23,15/07/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,278822,Bond,912828PX2,1420000,1420000,124,124,1,1,1760800,1760800,141.0274,18712.8767,141.0274,89289.7945
01/08/23,01/08/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,278822,Bond,912828PX2,1190000,1190000,124,124,1,1,1475600,1475600,118.1849,15681.9178,118.1849,74827.363
01/08/23,01/06/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,278822,Bond,912828PX2,17840000,17840000,124,124,1,1,22121600,22121600,1771.7808,235096.9863,1771.7808,1121781.644
01/08/23,15/07/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,278822,Bond,912828PX2,1790000,1790000,124,124,1,1,2219600,2219600,177.774,23588.7671,177.774,112555.4452
01/08/23,01/07/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,278822,Bond,912828PX2,1540000,1540000,124,124,1,1,1909600,1909600,152.9452,20294.2466,152.9452,96835.411
01/08/23,15/08/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,278822,Bond,912828PX2,1320000,1320000,124,124,1,1,1636800,1636800,131.0959,17395.0685,131.0959,83001.7808
01/08/23,01/08/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,278822,Bond,912828PX2,1630000,1630000,124,124,1,1,2021200,2021200,161.8836,21480.274,161.8836,102494.6233
01/08/23,03/12/20,NULL,Hi Yield,Hi Yield, Default,Asset,DefaultS2,CS Prime,Long,278990,Bond,983919AC5,1000000,1000000,98,98,1,1,0,0,0,2690.9722,0,2604.1667
01/08/23,28/06/22,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,279096,Equity,ATVI,71,71,0,43,1,1,0,0,0,0,0,0
01/08/23,22/09/22,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,279096,Equity,ATVI,125,125,0,75.32,1,1,0,0,0,0,0,0
01/08/23,28/06/22,NULL,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,279096,Equity,ATVI,500,500,0,43,1,1,0,0,0,0,0,0
01/08/23,22/09/22,NULL,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,279096,Equity,ATVI,875,875,0,75.32,1,1,0,0,0,0,0,0
01/08/23,28/06/22,NULL,Heather,Heather, Default,Asset,DefaultS2,CS Prime,Long,279096,Equity,ATVI,429,429,0,43,1,1,0,0,0,0,0,0
01/08/23,01/06/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,279455,Equity,GLD,150000,150000,159.18,159.21,1,1,23881500,23881500,4500,129000,4500,843000
01/08/23,01/08/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,279455,Equity,GLD,10000,10000,159.18,159.21,1,1,1592100,1592100,300,8600,300,56200
01/08/23,01/07/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,279455,Equity,GLD,10000,10000,159.18,159.21,1,1,1592100,1592100,300,8600,300,56200
01/08/23,15/07/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,279455,Equity,GLD,10000,10000,159.18,159.21,1,1,1592100,1592100,300,8600,300,56200
01/08/23,15/08/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,279455,Equity,GLD,10000,10000,159.18,159.21,1,1,1592100,1592100,300,8600,300,56200
01/08/23,01/06/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,279455,Equity,GLD,220000,220000,159.18,159.21,1,1,35026200,35026200,6600,189200,6600,1236400
01/08/23,15/07/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,279455,Equity,GLD,10000,10000,159.18,159.21,1,1,1592100,1592100,300,8600,300,56200
01/08/23,01/08/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,279455,Equity,GLD,10000,10000,159.18,159.21,1,1,1592100,1592100,300,8600,300,56200
01/08/23,15/08/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,279455,Equity,GLD,10000,10000,159.18,159.21,1,1,1592100,1592100,300,8600,300,56200
01/08/23,01/07/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,279455,Equity,GLD,10000,10000,159.18,159.21,1,1,1592100,1592100,300,8600,300,56200
01/08/23,01/06/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,279728,Equity,MRK,450000,450000,77.94,77.95,1,1,35077500,35077500,4500,144000,4500,936000
01/08/23,01/08/20,NULL,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,279728,Equity,MRK,20000,20000,77.94,77.95,1,1,1559000,1559000,200,6400,200,41600
01/08/23,01/06/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,279728,Equity,MRK,270000,270000,77.94,77.95,1,1,21046500,21046500,2700,86400,2700,561600
01/08/23,01/08/20,NULL,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,279728,Equity,MRK,20000,20000,77.94,77.95,1,1,1559000,1559000,200,6400,200,41600
01/08/23,11/04/23,NULL,Heather,Heather, Default,Asset,DefaultS2,CS Prime,Long,280268,Equity,VIX,4286,4286,0,2.96,1,1,0,0,0,0,0,-12686.56
01/08/23,11/04/23,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,280268,Equity,VIX,714,714,0,2.96,1,1,0,0,0,0,0,-2113.44
01/08/23,11/04/23,NULL,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,280268,Equity,VIX,5000,5000,0,2.96,1,1,0,0,0,0,0,-14800
01/08/23,04/03/20,NULL,Heather,Heather, Default,Asset,DefaultS2,Well Prime,Long,280313,Equity,WMT,16000,16000,104.42,104.41,1,1,1670560,1670560,-160,-2400,-160,-15360
01/08/23,24/03/21,NULL,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,280313,Equity,WMT,442,442,104.42,104.41,1,1,46149.22,46149.22,-4.42,-66.3,-4.42,-424.32
01/08/23,24/03/21,NULL,Hi Yield,Hi Yield, Default,Asset,DefaultS2,CS Prime,Long,280313,Equity,WMT,91,91,104.42,104.41,1,1,9501.31,9501.31,-0.91,-13.65,-0.91,-87.36
01/08/23,04/03/20,NULL,SMA-L1,SMA-L1, Default,Asset,DefaultS2,Well Prime,Long,280313,Equity,WMT,4000,4000,104.42,104.41,1,1,417640,417640,-40,-600,-40,-3840
01/08/23,04/03/20,NULL,SMA-L2,SMA-L2, Default,Asset,DefaultS2,Well Prime,Long,280313,Equity,WMT,4000,4000,104.42,104.41,1,1,417640,417640,-40,-600,-40,-3840
01/08/23,04/03/20,NULL,SMA-L4,SMA-L4, Default,Asset,DefaultS2,Well Prime,Long,280313,Equity,WMT,4000,4000,104.42,104.41,1,1,417640,417640,-40,-600,-40,-3840
01/08/23,24/03/21,NULL,Lee Investment,Warren Lee IG, Default,Asset,DefaultS2,CS Prime,Long,280313,Equity,WMT,11,11,104.42,104.41,1,1,1148.51,1148.51,-0.11,-1.65,-0.11,-10.56
01/08/23,24/03/21,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,Well Prime,Long,280313,Equity,WMT,456,456,104.42,104.41,1,1,47610.96,47610.96,-4.56,-68.4,-4.56,-437.76
01/08/23,23/05/23,NULL,Heather,Heather, Default,Asset,DefaultS2,CS Prime,Long,287541,Bond,127693AC3,1500000,1500000,0,90,1,1,0,0,0,11625,0,-1287750
01/08/23,23/05/23,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,287541,Bond,127693AC3,250000,250000,0,90,1,1,0,0,0,1937.5,0,-214625
01/08/23,23/05/23,NULL,Opium,Opium Holdings Partners, Default,Asset,DefaultS2,CS Prime,Long,287541,Bond,127693AC3,1500000,1500000,0,90,1,1,0,0,0,11625,0,-1287750
01/08/23,23/05/23,NULL,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,287541,Bond,127693AC3,1750000,1750000,0,90,1,1,0,0,0,13562.5,0,-1502375
01/08/23,04/03/20,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,277144,Equity,F,2500,2500,6.25,6.25,1,1,15625,15625,0,50,0,275
01/08/23,04/03/20,NULL,Heather,Heather, Default,Asset,DefaultS2,CS Prime,Long,277144,Equity,F,15000,15000,6.25,6.25,1,1,93750,93750,0,300,0,1650
01/08/23,04/03/20,02/06/21,Opium,Opium Holdings Partners, Default,Asset,DefaultS2,CS Prime,Long,277144,Equity,F,0,0,6.25,6.25,1,1,NULL,NULL,0,0,0,0
01/08/23,04/03/20,NULL,Garfield,Garfield, Default,Asset,DefaultS2,CS Prime,Long,277144,Equity,F,17500,17500,6.25,6.25,1,1,109375,109375,0,350,0,1925
01/08/23,04/03/20,NULL,Opium,Opium Holdings Partners, Default,Asset,DefaultS2,CS Prime,Long,288602,AssetBacked,17320QAA7,2400000,2400000,89,89,1,1,0,0,0,650.2,0,433.4667
01/08/23,04/03/20,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,288602,AssetBacked,17320QAA7,400000,400000,89,89,1,1,0,0,0,108.3667,0,72.2444
01/08/23,04/03/20,NULL,Heather,Heather, Default,Asset,DefaultS2,CS Prime,Long,288602,AssetBacked,17320QAA7,2400000,2400000,89,89,1,1,0,0,0,650.2,0,433.4667
01/08/23,04/03/20,NULL,Garfield,Garfield, Default,Asset,DefaultS2,CS Prime,Long,288602,AssetBacked,17320QAA7,2800000,2800000,89,89,1,1,0,0,0,758.5667,0,505.7111
01/08/23,05/05/22,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,288690,Equity,HIO,1250,1250,0,5,1,1,0,0,0,0,0,0
01/08/23,05/05/22,NULL,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,288690,Equity,HIO,8750,8750,0,5,1,1,0,0,0,0,0,0
01/08/23,05/05/22,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,288701,Equity,NRO,7000,7000,0,45,1,1,0,0,0,0,0,0
01/08/23,05/05/22,NULL,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,288701,Equity,NRO,43000,43000,0,45,1,1,0,0,0,0,0,0
01/08/23,20/10/21,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,288790,AssetBacked,004421CG6,285714,285714,101,101,1,1,0,0,0,0,0,0
01/08/23,20/10/21,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,288790,AssetBacked,004421CG6,250000,250000,101,101,1,1,0,0,0,0,0,0
01/08/23,27/01/22,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,288790,AssetBacked,004421CG6,187500,187500,101,101,1,1,0,0,0,0,0,0
01/08/23,27/01/22,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,288790,AssetBacked,004421CG6,250000,250000,101,101,1,1,0,0,0,0,0,0
01/08/23,24/02/22,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,288790,AssetBacked,004421CG6,178572,178572,101,101,1,1,0,0,0,0,0,0
01/08/23,24/02/22,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,288790,AssetBacked,004421CG6,125000,125000,101,101,1,1,0,0,0,0,0,0
01/08/23,16/03/22,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,288790,AssetBacked,004421CG6,150000,150000,101,101,1,1,0,0,0,0,0,0
01/08/23,03/05/22,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,288790,AssetBacked,004421CG6,312500,312500,101,101,1,1,0,0,0,0,0,0
01/08/23,03/05/22,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,288790,AssetBacked,004421CG6,500000,500000,101,101,1,1,0,0,0,0,0,0
01/08/23,20/05/22,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,288790,AssetBacked,004421CG6,500000,500000,101,101,1,1,0,0,0,0,0,0
01/08/23,09/12/22,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,288790,AssetBacked,004421CG6,178572,178572,101,101,1,1,0,0,0,0,0,0
01/08/23,23/12/22,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,288790,AssetBacked,004421CG6,178571,178571,101,101,1,1,0,0,0,0,0,0
01/08/23,23/12/22,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,288790,AssetBacked,004421CG6,53572,53572,101,101,1,1,0,0,0,0,0,0
01/08/23,31/01/23,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,288790,AssetBacked,004421CG6,178571,178571,101,101,1,1,0,0,0,0,0,0
01/08/23,06/02/23,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,288790,AssetBacked,004421CG6,89286,89286,101,101,1,1,0,0,0,0,0,0
01/08/23,21/06/23,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,288790,AssetBacked,004421CG6,312500,312500,101,101,1,1,0,0,0,0,0,0
